M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,26,0,61.615,90.879,0,0,0,No
0,0,0,0,0,3688,1,4,0,0,0,0,48.5,0,9,18,0,0,0,No
0,0,0,0,0,1876,1,0,0,0,0,0,33.80219,0,62.662,89.368,0,0,0,No
0,0,0,0,0,93,1,4,0,0,0,0,48.10437,0,69.076,88.564,0,0,0,No
0,0,0,0,0,0,1,3,0,0,0,0,52.26363,0,69.413,87.453,0,0,0,No
0,0,0,0,0,97,1,1,0,0,0,0,40.10938,0,153.314,87.453,0,0,0,No
0,0,0,0,0,53,1,1,0,0,0,0,13.32385,0,155.108,87.653,0,0,0,No
0,0,0,0,0,88,1,4,0,0,0,0,13.46992,0,152.308,88.925,0,0,0,No
0,0,0,0,0,70,1,0,0,0,0,0,47.77211,0,154.672,88.866,0,0,0,No
0,0,0,0,0,63,1,0,0,0,0,0,58.0743,0,160.629,92.491,0,0,0,No
0,0,0,0,0,57,1,4,0,0,0,0,39.37648,0,159.99,93.642,0,0,0,No
0,0,0,0,0,79,1,4,0,0,0,0,59.76759,0,158.656,80.867,0,0,0,No
0,0,0,0,0,98,1,0,0,0,0,0,55.6664,0,161.656,112.855,0,0,0,No
0,0,0,0,0,92,1,1,0,0,0,0,52.11166,0,161.793,100.503,0,0,0,No
0,0,0,0,0,86,1,0,0,0,0,0,43.31754,0,157.016,119.053,0,0,0,No
0,0,0,0,0,95,1,0,0,0,0,0,60.61973,0,159.534,123.121,0,0,0,No
0,0,0,0,0,75,1,3,0,0,0,0,65.81613,0,157.26,123.175,0,0,0,No
0,0,0,0,0,81,1,4,0,0,0,0,69.30585,0,125.826,142.175,0,0,0,No
0,0,0,0,0,76,1,0,0,0,0,0,47.60804,0,122.515,144.24,0,0,0,No
0,0,0,0,0,74,1,0,0,0,0,0,53.87333,0,120.303,142.547,0,0,0,No
0,0,0,0,0,97,1,1,0,0,0,0,58.25255,0,99.27,127.547,0,0,0,No
0,0,0,0,0,62,1,2,0,0,0,0,71.55474,0,99.756,142.149,0,0,0,No
0,0,0,0,0,88,1,3,0,0,0,0,54.82003,0,97.746,144.175,0,0,0,No
0,0,0,0,0,90,1,4,0,0,0,0,66.30975,0,64.312,122.175,0,0,0,No
0,0,0,0,0,53,1,4,0,0,0,0,66.45777,0,64.332,123.405,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,68.60521,0,62.417,118.566,0,0,0,No
0,0,0,0,0,96,1,4,0,0,0,0,71.9074,0,59.834,116.575,0,0,0,No
0,0,0,0,0,81,1,3,0,0,0,0,64.20958,0,58.942,116.191,0,0,0,No
0,0,0,0,0,0,1,4,0,0,0,0,74.4037,0,57.778,113.565,0,0,0,No
0,0,0,0,0,87,1,0,0,0,0,0,33.30251,0,61.778,96.577,0,0,0,No
0,0,0,0,0,68,1,0,0,0,0,0,61.74778,0,53.641,92.929,0,0,0,No
0,0,0,0,0,63,1,4,0,0,0,0,64.87819,0,63.133,93.947,0,0,0,No
0,0,0,0,0,72,1,0,0,0,0,0,77.17325,0,62.58,89.927,0,0,0,No
