M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.3,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,5434,1,0,0,0,0,0,475,0,113.138,181.358,0,0,0,No
0,0,0,0,0,4391,1,38,0,0,0,0,449.5,0,0,88,0,0,0,No
0,0,0,0,0,2726,1,0,0,0,0,0,491.68088,0,122.462,175.969,0,0,0,No
0,0,0,0,0,988,1,0,0,0,0,0,2.92006,0,131.974,154.273,0,0,0,No
0,0,0,0,0,658,1,10,0,0,0,0,401.53518,0,220.026,80.273,0,0,0,No
0,0,0,0,0,927,1,37,0,0,0,0,322.71606,0,207.704,174.671,0,0,0,No
0,0,0,0,0,769,1,35,0,0,0,0,329.89694,0,199.151,145.83,0,0,0,No
0,0,0,0,0,737,1,46,0,0,0,0,9.07782,0,199.155,163.651,0,0,0,No
0,0,0,0,0,656,1,25,0,0,0,0,9.2587,0,242.544,146.975,0,0,0,No
0,0,0,0,0,879,1,0,0,0,0,0,346.49788,0,233.24,167.487,0,0,0,No
