M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.3,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,5475,1,21,0,0,0,0,374,0,163.21,135.19,0,0,0,No
0,0,0,0,0,4263,1,13,0,0,0,0,495.5,0,86,51,0,0,0,No
0,0,0,0,0,2455,1,36,0,0,0,0,307.66426,0,86.212,139.763,0,0,0,No
0,0,0,0,0,859,1,29,0,0,0,0,451.89442,0,187.568,158.983,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,257.32415,0,161.969,169.983,0,0,0,No
0,0,0,0,0,822,1,0,0,0,0,0,411.48841,0,176.396,135.38,0,0,0,No
0,0,0,0,0,783,1,34,0,0,0,0,311.65267,0,203.568,161.531,0,0,0,No
0,0,0,0,0,951,1,20,0,0,0,0,312.81693,0,193.261,173.315,0,0,0,No
0,0,0,0,0,933,1,23,0,0,0,0,5.0221,0,208.439,168.151,0,0,0,No
0,0,0,0,0,795,1,28,0,0,0,0,262.162,0,205.835,158.207,0,0,0,No
0,0,0,0,0,600,1,45,0,0,0,0,395.25856,0,186.972,172.646,0,0,0,No
0,0,0,0,0,782,1,42,0,0,0,0,293.58978,0,209.972,110.573,0,0,0,No
0,0,0,0,0,578,1,15,0,0,0,0,259.82376,0,118.166,181.981,0,0,0,No
0,0,0,0,0,534,1,48,0,0,0,0,347.88632,0,214.746,114.819,0,0,0,No
0,0,0,0,0,686,1,12,0,0,0,0,261.05058,0,205.304,183.81,0,0,0,No
0,0,0,0,0,617,1,27,0,0,0,0,437.21484,0,191.301,118.237,0,0,0,No
0,0,0,0,0,697,1,11,0,0,0,0,358.445,0,202.946,185.017,0,0,0,No
0,0,0,0,0,873,1,35,0,0,0,0,299.87473,0,160.544,206.017,0,0,0,No
0,0,0,0,0,528,1,25,0,0,0,0,9.03899,0,176.118,118.62,0,0,0,No
0,0,0,0,0,923,1,43,0,0,0,0,283.20325,0,154.945,211.469,0,0,0,No
0,0,0,0,0,734,1,38,0,0,0,0,500.30434,0,154.837,206.439,0,0,0,No
0,0,0,0,0,845,1,8,0,0,0,0,419.39625,0,168.927,173.406,0,0,0,No
0,0,0,0,0,582,1,40,0,0,0,0,284.5605,0,170.621,201.323,0,0,0,No
0,0,0,0,0,585,1,12,0,0,0,0,336.76122,0,131.028,182.378,0,0,0,No
0,0,0,0,0,692,1,18,0,0,0,0,334.09243,0,163.028,142.451,0,0,0,No
