M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,195,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,5765,1,27,0,0,0,0,266,0,113.064,136.088,0,0,0,No
0,0,0,0,0,4414,1,0,0,0,0,0,344.5,0,53,50,0,0,0,No
0,0,0,0,0,2429,1,15,0,0,0,0,256.80219,0,114.329,157.93,0,0,0,No
0,0,0,0,0,911,1,31,0,0,0,0,488.09855,0,145.792,152.528,0,0,0,No
0,0,0,0,0,704,1,0,0,0,0,0,492.11686,0,183.045,79.188,0,0,0,No
0,0,0,0,0,929,1,14,0,0,0,0,492.8791,0,232.143,136.188,0,0,0,No
0,0,0,0,0,610,1,0,0,0,0,0,393.18129,0,206.656,133.585,0,0,0,No
0,0,0,0,0,934,1,23,0,0,0,0,372.48348,0,236.924,132.739,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes
0,0,0,0,0,602,1,44,0,0,0,0,13.78566,0,240.724,169.537,0,0,0,No
0,0,0,0,0,827,1,8,0,0,0,0,448.08785,0,224.883,84.802,0,0,0,No
0,0,0,0,0,0,1,8,0,0,0,0,299.39189,0,207.285,174.33,0,0,0,No
0,0,0,0,0,707,1,10,0,0,0,0,488.36102,0,208.285,176.33,0,0,0,No
0,0,0,0,0,839,1,0,0,0,0,0,510.66321,0,238.888,211.843,0,0,0,No
0,0,0,0,0,888,1,29,0,0,0,0,386.96539,0,223.734,206.111,0,0,0,No
0,0,0,0,0,785,1,10,0,0,0,0,350.26758,0,145.936,180.912,0,0,0,No
0,0,0,0,0,669,1,33,0,0,0,0,312.56977,0,208.671,182.07,0,0,0,No
0,0,0,0,0,656,1,20,0,0,0,0,427.86613,0,217.208,216.472,0,0,0,No
0,0,0,0,0,765,1,30,0,0,0,0,276.88444,0,168.955,120.812,0,0,0,No
0,0,0,0,0,912,1,16,0,0,0,0,427.64668,0,141.857,187.812,0,0,0,No
0,0,0,0,0,802,1,0,0,0,0,0,509.94887,0,138.344,178.415,0,0,0,No
0,0,0,0,0,793,1,48,0,0,0,0,486.25106,0,125.076,186.261,0,0,0,No
0,0,0,0,0,958,1,23,0,0,0,0,320.55324,0,138.276,175.463,0,0,0,No
0,0,0,0,0,745,1,23,0,0,0,0,310.85543,0,119.117,210.198,0,0,0,No
0,0,0,0,0,586,1,19,0,0,0,0,424.15947,0,105.715,209.67,0,0,0,No
0,0,0,0,0,542,1,39,0,0,0,0,33.1286,0,147.715,87.67,0,0,0,No
0,0,0,0,0,988,1,34,0,0,0,0,311.43079,0,143.112,180.157,0,0,0,No
0,0,0,0,0,570,1,20,0,0,0,0,313.73297,0,132.266,140.889,0,0,0,No
0,0,0,0,0,677,1,32,0,0,0,0,472.02803,0,54.021,147.13,0,0,0,No
0,0,0,0,0,5634,1,33,0,0,0,0,324,0,54.754,159.477,0,0,0,No
0,0,0,0,0,2402,1,17,0,0,0,0,515.31658,0,121.972,80.485,0,0,0,No
0,0,0,0,0,0,1,28,0,0,0,0,287.53534,0,130.798,174.242,0,0,0,No
0,0,0,0,0,508,1,12,0,0,0,0,411.55364,0,156.05,135.902,0,0,0,No
0,0,0,0,0,535,1,48,0,0,0,0,386.3152,0,240.143,142.902,0,0,0,No
